,classifier,best metric,AUC,Accuracy,Precision at .05,Precision at .10,Precision at .2,Precision at .25,Precision at .5,Precision at .75,Precision at .85,Recall at .05,Recall at .10,Recall at .20,Recall at .25,Recall at .5,Recall at .75,Recall at .85,f1 at 0.05,f1 at 0.1,f1 at 0.2,f1 at 0.25,f1 at 0.5,f1 at 0.75,f1 at 0.85,test_time (sec),train_time (sec)
135,"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='gini',
           max_depth=10, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=3,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",AUC,1.0,1.0,0.960211896701,0.995142231566,0.999800556405,0.999900596421,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.998199556043,0.979379699041,0.997560192079,0.999900268257,0.99995029327,1.0,1.0,0.999098323878,0.114443540573,0.329170942307
135,"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='gini',
           max_depth=10, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=3,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",Accuracy,1.0,1.0,0.960211896701,0.995142231566,0.999800556405,0.999900596421,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.998199556043,0.979379699041,0.997560192079,0.999900268257,0.99995029327,1.0,1.0,0.999098323878,0.114443540573,0.329170942307
12,"LogisticRegression(C=0.5, class_weight='balanced', dual=False,
          fit_intercept=True, intercept_scaling=1, max_iter=100,
          multi_class='ovr', n_jobs=3, penalty='l1', random_state=None,
          solver='liblinear', tol=0.001, verbose=0, warm_start=False)",Precision at .05,1.0,0.999993333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999899939964,0.999799879928,0.999799879928,1.0,1.0,1.0,1.0,0.999949964975,0.999899919936,0.999899919936,0.00375819206238,0.17787528038
36,"LogisticRegression(C=0.5, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=3,
          penalty='l1', random_state=None, solver='liblinear', tol=0.001,
          verbose=0, warm_start=False)",Precision at .10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999899939964,0.999899939964,1.0,1.0,1.0,1.0,1.0,0.999949964975,0.999949964975,0.00356686115265,0.151025891304
77,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='entropy',
            max_depth=10, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=50,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=3,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",Precision at .2,1.0,1.0,0.972663579774,0.999700556413,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.986103243468,0.999850253254,1.0,1.0,1.0,1.0,1.0,0.342490553856,2.38946795464
86,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=20, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=3,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",Precision at .25,1.0,1.0,0.987693991777,0.999899959984,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.993803018451,0.999949974987,1.0,1.0,1.0,1.0,1.0,0.35246348381,2.18980920315
0,"LogisticRegression(C=0.01, class_weight='balanced', dual=False,
          fit_intercept=True, intercept_scaling=1, max_iter=100,
          multi_class='ovr', n_jobs=3, penalty='l1', random_state=None,
          solver='liblinear', tol=1e-05, verbose=0, warm_start=False)",Precision at .5,0.999956775917,0.999986666667,0.901521478202,0.999899919936,0.999899919936,0.999899919936,1.0,1.0,1.0,0.999799879928,0.999799879928,0.999799879928,0.999799879928,0.999799879928,0.999799879928,0.999102643133,0.948117562473,0.999849894926,0.999849894926,0.999849894926,0.999899919936,0.999899919936,0.999551117814,0.00450336933136,0.515186429024
0,"LogisticRegression(C=0.01, class_weight='balanced', dual=False,
          fit_intercept=True, intercept_scaling=1, max_iter=100,
          multi_class='ovr', n_jobs=3, penalty='l1', random_state=None,
          solver='liblinear', tol=1e-05, verbose=0, warm_start=False)",Precision at .75,0.999956775917,0.999986666667,0.901521478202,0.999899919936,0.999899919936,0.999899919936,1.0,1.0,1.0,0.999799879928,0.999799879928,0.999799879928,0.999799879928,0.999799879928,0.999799879928,0.999102643133,0.948117562473,0.999849894926,0.999849894926,0.999849894926,0.999899919936,0.999899919936,0.999551117814,0.00450336933136,0.515186429024
0,"LogisticRegression(C=0.01, class_weight='balanced', dual=False,
          fit_intercept=True, intercept_scaling=1, max_iter=100,
          multi_class='ovr', n_jobs=3, penalty='l1', random_state=None,
          solver='liblinear', tol=1e-05, verbose=0, warm_start=False)",Precision at .85,0.999956775917,0.999986666667,0.901521478202,0.999899919936,0.999899919936,0.999899919936,1.0,1.0,1.0,0.999799879928,0.999799879928,0.999799879928,0.999799879928,0.999799879928,0.999799879928,0.999102643133,0.948117562473,0.999849894926,0.999849894926,0.999849894926,0.999899919936,0.999899919936,0.999551117814,0.00450336933136,0.515186429024
135,"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='gini',
           max_depth=10, max_features='log2', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=3,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",Recall at .05,1.0,1.0,0.960211896701,0.995142231566,0.999800556405,0.999900596421,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.998199556043,0.979379699041,0.997560192079,0.999900268257,0.99995029327,1.0,1.0,0.999098323878,0.114443540573,0.329170942307
