Precision at .75,Recall at .10,AUC,Precision at .5,f1 at 0.75,Recall at .85,Precision at .2,f1 at 0.85,f1 at 0.5,f1 at 0.05,Recall at .20,train_time (sec),Precision at .25,Recall at .25,test_time (sec),f1 at 0.2,Precision at .05,classifier,f1 at 0.1,Recall at .5,Recall at .05,Recall at .75,Precision at .10,Precision at .85,Accuracy,f1 at 0.25
0.0 (0.0),1.0 (0.0),0.821430001045 (0.00560793973265),0.466562795 (0.0103653157511),nan (nan),0.0 (0.0),0.06684 (0.000342150064543),nan (nan),0.362291557152 (0.00133659632902),0.125304445145 (0.000601320065899),1.0 (0.0),0.426823139191 (0.004569544548),0.06684 (0.000342150064543),1.0 (0.0),0.0194387435913 (0.000156299820919),0.125304445145 (0.000601320065899),0.06684 (0.000342150064543),"AdaBoostClassifier(algorithm='SAMME', base_estimator=None, learning_rate=1.0,
          n_estimators=5, random_state=None)",0.125304445145 (0.000601320065899),0.296246406338 (0.00374145240509),1.0 (0.0),0.0 (0.0),0.06684 (0.000342150064543),0.0 (0.0),0.93316 (0.000342150064543),0.125304445145 (0.000601320065899)
0.0 (0.0),1.0 (0.0),0.836981761943 (0.00380395908076),0.464712318552 (0.0126847297289),nan (nan),0.0 (0.0),0.06684 (0.000342150064543),nan (nan),0.373052182809 (0.00295925611943),0.125304445145 (0.000601320065899),1.0 (0.0),0.843274354935 (0.00368198911888),0.06684 (0.000342150064543),1.0 (0.0),0.032511472702 (0.000130366936046),0.125304445145 (0.000601320065899),0.06684 (0.000342150064543),"AdaBoostClassifier(algorithm='SAMME', base_estimator=None, learning_rate=1.0,
          n_estimators=10, random_state=None)",0.125304445145 (0.000601320065899),0.311879975653 (0.00721820976568),1.0 (0.0),0.0 (0.0),0.06684 (0.000342150064543),0.0 (0.0),0.934826666667 (0.000253157833947),0.125304445145 (0.000601320065899)
0.0 (0.0),1.0 (0.0),0.848296642287 (0.00364265649395),0.461135792775 (0.0110144377257),nan (nan),0.0 (0.0),0.06684 (0.000342150064543),nan (nan),0.377683227078 (0.00450151634749),0.125304445145 (0.000601320065899),1.0 (0.0),2.10252094269 (0.00307891767147),0.06684 (0.000342150064543),1.0 (0.0),0.0718522866567 (0.000243743118184),0.125304445145 (0.000601320065899),0.06684 (0.000342150064543),"AdaBoostClassifier(algorithm='SAMME', base_estimator=None, learning_rate=1.0,
          n_estimators=25, random_state=None)",0.125304445145 (0.000601320065899),0.319950041817 (0.00552072191101),1.0 (0.0),0.0 (0.0),0.06684 (0.000342150064543),0.0 (0.0),0.935213333333 (0.000628720040152),0.125304445145 (0.000601320065899)
0.0 (0.0),1.0 (0.0),0.850101669148 (0.00338241899199),0.459514978131 (0.0116217038052),nan (nan),0.0 (0.0),0.06684 (0.000342150064543),nan (nan),0.380120651564 (0.00499919833234),0.125304445145 (0.000601320065899),1.0 (0.0),4.22690518697 (0.0255377763623),0.06684 (0.000342150064543),1.0 (0.0),0.136731465658 (0.000210606736925),0.125304445145 (0.000601320065899),0.06684 (0.000342150064543),"AdaBoostClassifier(algorithm='SAMME', base_estimator=None, learning_rate=1.0,
          n_estimators=50, random_state=None)",0.125304445145 (0.000601320065899),0.324236994724 (0.00467424089246),1.0 (0.0),0.0 (0.0),0.06684 (0.000342150064543),0.0 (0.0),0.93564 (0.000577811964801),0.125304445145 (0.000601320065899)
0.0 (0.0),1.0 (0.0),0.850770466353 (0.00329836655235),0.459516282597 (0.0114808635243),nan (nan),0.0 (0.0),0.06684 (0.000342150064543),nan (nan),0.380049878086 (0.00448973481787),0.125304445145 (0.000601320065899),1.0 (0.0),8.41177813212 (0.0153887798902),0.06684 (0.000342150064543),1.0 (0.0),0.264811515808 (0.000360378548303),0.125304445145 (0.000601320065899),0.06684 (0.000342150064543),"AdaBoostClassifier(algorithm='SAMME', base_estimator=None, learning_rate=1.0,
          n_estimators=100, random_state=None)",0.125304445145 (0.000601320065899),0.324140624715 (0.00441907339812),1.0 (0.0),0.0 (0.0),0.06684 (0.000342150064543),0.0 (0.0),0.935693333333 (0.000311697859402),0.125304445145 (0.000601320065899)
0.0 (0.0),1.0 (0.0),0.830665554078 (0.00262690573429),0.522472309542 (0.0174905088964),nan (nan),0.0 (0.0),0.06684 (0.000342150064543),nan (nan),0.317746048476 (0.0111453460305),0.125304445145 (0.000601320065899),1.0 (0.0),0.486794869105 (0.00125048624698),0.06684 (0.000342150064543),1.0 (0.0),0.0407330989838 (8.72053773829e-05),0.125304445145 (0.000601320065899),0.06684 (0.000342150064543),"AdaBoostClassifier(algorithm='SAMME.R', base_estimator=None,
          learning_rate=1.0, n_estimators=5, random_state=None)",0.125304445145 (0.000601320065899),0.228361814078 (0.009026935613),1.0 (0.0),0.0 (0.0),0.06684 (0.000342150064543),0.0 (0.0),0.934466666667 (0.000942667609618),0.125304445145 (0.000601320065899)
0.0 (0.0),1.0 (0.0),0.848701418166 (0.00338367375397),0.53001961219 (0.0162296489396),nan (nan),0.0 (0.0),0.06684 (0.000342150064543),nan (nan),0.301841129499 (0.0098048811087),0.125304445145 (0.000601320065899),1.0 (0.0),0.96822587649 (0.00539745898116),0.06684 (0.000342150064543),1.0 (0.0),0.0756180286407 (0.00013344115564),0.125304445145 (0.000601320065899),0.06684 (0.000342150064543),"AdaBoostClassifier(algorithm='SAMME.R', base_estimator=None,
          learning_rate=1.0, n_estimators=10, random_state=None)",0.125304445145 (0.000601320065899),0.21101803498 (0.00721952169746),1.0 (0.0),0.0 (0.0),0.06684 (0.000342150064543),0.0 (0.0),0.93476 (0.000719073477933),0.125304445145 (0.000601320065899)
0.0 (0.0),1.0 (0.0),0.855385220936 (0.00257007965213),0.539301890454 (0.015202796855),nan (nan),0.0 (0.0),0.06684 (0.000342150064543),nan (nan),0.292638454817 (0.012460397916),0.125304445145 (0.000601320065899),1.0 (0.0),2.40197873116 (0.0171218024712),0.06684 (0.000342150064543),1.0 (0.0),0.179719289144 (0.00036137589553),0.125304445145 (0.000601320065899),0.06684 (0.000342150064543),"AdaBoostClassifier(algorithm='SAMME.R', base_estimator=None,
          learning_rate=1.0, n_estimators=25, random_state=None)",0.125304445145 (0.000601320065899),0.201034412432 (0.0117070045049),1.0 (0.0),0.0 (0.0),0.06684 (0.000342150064543),0.0 (0.0),0.9351 (0.000499866648884),0.125304445145 (0.000601320065899)
0.0 (0.0),1.0 (0.0),0.858247764678 (0.00253804838498),0.545636320064 (0.00966100371031),nan (nan),0.0 (0.0),0.06684 (0.000342150064543),nan (nan),0.300630201525 (0.00806704593989),0.125304445145 (0.000601320065899),1.0 (0.0),4.804088672 (0.0163640992931),0.06684 (0.000342150064543),1.0 (0.0),0.35164809227 (0.000746454748112),0.125304445145 (0.000601320065899),0.06684 (0.000342150064543),"AdaBoostClassifier(algorithm='SAMME.R', base_estimator=None,
          learning_rate=1.0, n_estimators=50, random_state=None)",0.125304445145 (0.000601320065899),0.20752484006 (0.00695882894224),1.0 (0.0),0.0 (0.0),0.06684 (0.000342150064543),0.0 (0.0),0.93548 (0.000398998746865),0.125304445145 (0.000601320065899)
0.0 (0.0),1.0 (0.0),0.859703269885 (0.00210434759744),0.549862079625 (0.0147554695801),nan (nan),0.0 (0.0),0.06684 (0.000342150064543),nan (nan),0.298842012149 (0.00588035604977),0.125304445145 (0.000601320065899),1.0 (0.0),9.60502735774 (0.0240044036046),0.06684 (0.000342150064543),1.0 (0.0),0.697310288747 (0.000705076940834),0.125304445145 (0.000601320065899),0.06684 (0.000342150064543),"AdaBoostClassifier(algorithm='SAMME.R', base_estimator=None,
          learning_rate=1.0, n_estimators=100, random_state=None)",0.125304445145 (0.000601320065899),0.205243163561 (0.00497635034307),1.0 (0.0),0.0 (0.0),0.06684 (0.000342150064543),0.0 (0.0),0.935633333333 (0.000570691588241),0.125304445145 (0.000601320065899)
