Precision at .75,Recall at .10,AUC,Precision at .5,f1 at 0.75,Recall at .85,Precision at .2,f1 at 0.85,f1 at 0.5,f1 at 0.05,Recall at .20,train_time (sec),Precision at .25,Recall at .25,test_time (sec),f1 at 0.2,Precision at .05,classifier,f1 at 0.1,Recall at .5,Recall at .05,Recall at .75,Precision at .10,Precision at .85,Accuracy,f1 at 0.25
0.529665784383 (0.017482870125),0.630721465966 (0.0158134487646),0.816443376662 (0.0106777177468),0.495902778721 (0.0224750780411),0.0682867398698 (0.00356323572166),0.019049964692 (0.000838539839271),0.339529786291 (0.0172210596978),0.0366603672975 (0.00155995255066),0.21352039394 (0.0179664398525),0.282070510284 (0.00280175268838),0.452156053945 (0.0224327949052),0.130890448888 (0.0121385921117),0.386944762733 (0.0272021876757),0.38051035437 (0.00936521264821),0.00683093070984 (0.000216667882183),0.387090746683 (0.00957453361565),0.172552047144 (0.00209954309789),"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=10,
            max_features='sqrt', max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')",0.35189343312 (0.00825845501943),0.136373593271 (0.0140847200773),0.772970818398 (0.0234686242993),0.0365159189952 (0.00213059377664),0.244192596859 (0.00862743700234),0.48605841614 (0.00915585011612),0.933486666667 (0.000606923022759),0.382967207984 (0.0103935149987)
0.509799051265 (0.0245245331326),0.610712381639 (0.0170604329136),0.812641497255 (0.0079863805713),0.521368265698 (0.00940734134886),0.0493917505542 (0.0148200558172),0.0132758957957 (0.00216895778027),0.327497754832 (0.0141330662289),0.0257750329716 (0.00418825153358),0.221664982109 (0.0398509609215),0.279116612221 (0.00952801567472),0.462050670078 (0.0123340996807),0.11589217186 (0.00270083113763),0.37595604931 (0.011472776817),0.378284163634 (0.0358100695867),0.00719451904297 (4.72393790988e-05),0.38297427106 (0.00845311395905),0.171070597415 (0.00880834732826),"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=10,
            max_features='log2', max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')",0.346738095073 (0.00911270201125),0.142455751583 (0.0330392417558),0.762736335193 (0.0294925209727),0.0261218832715 (0.00836401467857),0.242478389824 (0.0114676492569),0.445726190719 (0.0718844846123),0.9341 (0.00054626001135),0.375891620647 (0.0162028436252)
0.407488595805 (0.00395968244874),0.518869786864 (0.0106029485515),0.690934869083 (0.0221852716834),0.361837211418 (0.0141050105706),0.203536476531 (0.0171732646665),0.0966104995841 (0.00900734146235),0.276021802672 (0.0081065185661),0.155162104448 (0.0114998076248),0.287203338541 (0.00337857894126),0.275767941906 (0.00473109187405),0.410341691912 (0.00169252927386),0.211368083954 (0.0055291197022),0.294166870746 (0.00687630816577),0.381296924462 (0.00291800720984),0.0109643936157 (0.000162934054511),0.329979574405 (0.00612374482641),0.181832155286 (0.00210242608912),"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=20,
            max_features='sqrt', max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')",0.309847927693 (0.00626197483345),0.238728900204 (0.0102994696247),0.570760860802 (0.0202862439367),0.135977180312 (0.0145932379145),0.220871958056 (0.00444684217349),0.397499377022 (0.00944144841011),0.925033333333 (0.00190167177913),0.332063492062 (0.00453636197769)
0.408427922553 (0.0110270646466),0.516780830083 (0.0110162835431),0.689677336304 (0.0057645409884),0.353470198586 (0.00481874100893),0.198210480943 (0.016543043647),0.0912674891955 (0.00687820819574),0.277665373822 (0.00404374725302),0.148555676684 (0.00908981735373),0.286101652536 (0.0153952919055),0.273664981023 (0.00306821656778),0.411708173996 (0.00435947124622),0.186845461528 (0.017151949439),0.292161715922 (0.00173832841912),0.379168632666 (0.00899025889014),0.0108827749888 (0.000115763998616),0.331616560057 (0.00251426698576),0.17883959619 (0.00393026880523),"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=20,
            max_features='log2', max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')",0.310722158248 (0.00248196718586),0.240745119289 (0.0194672675921),0.583740632465 (0.0184592849183),0.131045626094 (0.0132709708722),0.222194374575 (0.00239482212169),0.401146977084 (0.00278672028647),0.925126666667 (0.000132999582288),0.329955811068 (0.0023266222193)
0.344842762361 (0.0201679865831),0.49000408182 (0.00559911535425),0.684225556948 (0.00295891392584),0.299653398413 (0.00669496920351),0.206324977014 (0.00964572869696),0.105429456925 (0.0028520552633),0.227454091135 (0.00434308825245),0.159595828755 (0.00298783093728),0.283783982281 (0.00726147924096),0.281440178544 (0.00313426937037),0.420682271726 (0.00641937438949),0.223147153854 (0.0166775422364),0.241954386976 (0.00610202257228),0.38918416765 (0.00709135284454),0.012556552887 (8.43512218905e-05),0.295242172239 (0.00457015489656),0.197424962661 (0.0026479154885),"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=50,
            max_features='sqrt', max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')",0.281464014406 (0.00313382957335),0.26956453023 (0.00852632169652),0.49000408182 (0.00559911535425),0.147397776258 (0.0082289601606),0.197448178423 (0.00263855227953),0.329653241286 (0.0194948683979),0.918233333333 (0.00103914494765),0.298312522315 (0.00453471836182)
0.344204394869 (0.00778348223633),0.498203146058 (0.00535823102619),0.687613666132 (0.00228494768912),0.299522784051 (0.00473741759553),0.199336477758 (0.00674300928462),0.103422740623 (0.0031987864028),0.228831649335 (0.00323847889293),0.157983813114 (0.00491310724738),0.281308877813 (0.00431987748606),0.283335777939 (0.00334934153962),0.428204990216 (0.00889085834065),0.190723737081 (0.0136236778473),0.242073858728 (0.00310453495985),0.395102496978 (0.00788402556912),0.0124673048655 (0.000131672307054),0.298204300038 (0.00243996992605),0.197978425427 (0.00309843790848),"DecisionTreeClassifier(class_weight=None, criterion='gini', max_depth=50,
            max_features='log2', max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')",0.283360170927 (0.00334766057727),0.265189919148 (0.00418432011016),0.498203146058 (0.00535823102619),0.140308668697 (0.00547306395893),0.198002509507 (0.00310567380997),0.334399721239 (0.0106444171581),0.918966666667 (0.000202868320729),0.300150174803 (0.00205813477781)
0.518446446204 (0.056502416646),0.619765826574 (0.0245855098662),0.815118240427 (0.00238129755825),0.524257000754 (0.00721093635962),0.063769042589 (0.0236182699842),0.0185332065067 (0.00396401356673),0.361667123771 (0.0048667625659),0.0358024380585 (0.00754811742833),0.247752559074 (0.0166252741074),0.26761319828 (0.00877104939511),0.42194310413 (0.0124608123626),0.171981414159 (0.00704314502238),0.397746768264 (0.0147459910849),0.382957162592 (0.0103877775532),0.00713324546814 (0.000228098432634),0.389308105852 (0.00271643410728),0.161598375347 (0.00627522602309),"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=10,
            max_features='sqrt', max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')",0.347982315168 (0.0145764159433),0.162602543995 (0.0146019117817),0.779473727064 (0.0221218891027),0.0341441865047 (0.0130789068991),0.242787661745 (0.0182191024307),0.531024241576 (0.0629813347713),0.934146666667 (0.000408357142163),0.38981917653 (0.00298752478906)
0.554747083462 (0.0480201285287),0.618612169611 (0.00628451147601),0.811495772099 (0.00527154098042),0.506907238409 (0.0158862632093),0.0635566980381 (0.00710294370301),0.0180491517065 (0.00520455472891),0.355083815262 (0.0220779483259),0.034870818219 (0.00968871675618),0.265350741388 (0.00694202790137),0.274057689395 (0.00507733424797),0.457997401215 (0.0067049794617),0.132093111674 (0.016105732312),0.390860832288 (0.0039858909993),0.400652798077 (0.0251258040359),0.00716010729472 (8.26984512133e-05),0.399555502889 (0.0132893075088),0.167124782738 (0.00423545270134),"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=10,
            max_features='log2', max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')",0.356983259409 (0.0184081583798),0.179820531146 (0.00624983933489),0.761821025976 (0.00961044212497),0.0337253617487 (0.00388552298995),0.251356956281 (0.0186268472855),0.557613150549 (0.0238807227153),0.933913333333 (0.000315946549629),0.39540150393 (0.0142339470372)
0.388267000044 (0.0102193535333),0.518824518396 (0.0071045846904),0.699928905725 (0.00306364252954),0.343949855742 (0.01239182881),0.198344823129 (0.00617541195813),0.103915171166 (0.00454898787168),0.273168141798 (0.0110353607696),0.16384658394 (0.00566839416778),0.281055294422 (0.0019413398029),0.273244958364 (0.0064456575806),0.424890359398 (0.00115226947843),0.285111029943 (0.0101029676023),0.291215603235 (0.0132699380677),0.389010404174 (0.00814041691389),0.0111718177795 (0.00019984464698),0.332400042244 (0.00807267902228),0.180045493072 (0.00452865887611),"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=20,
            max_features='sqrt', max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')",0.305281424339 (0.00362972807065),0.237973555944 (0.00644650859605),0.566504668322 (0.0107253273038),0.13333463534 (0.00618784893346),0.216286152039 (0.00312088174592),0.388225370823 (0.0153229626262),0.92362 (0.00114868040232),0.332736127179 (0.0062760216334)
0.382554001277 (0.00778737022081),0.498272026539 (0.0146816413124),0.678786339847 (0.00890471319554),0.34249162167 (0.00348061051808),0.177721007455 (0.00644330440626),0.0862439059755 (0.00666763929183),0.267072359011 (0.00411237167387),0.139941658055 (0.009694159434),0.275867346979 (0.00395577235824),0.261728894483 (0.00567179083558),0.407673133145 (0.00656767011672),0.258891582489 (0.017146366185),0.283090670906 (0.00243675771769),0.375648429162 (0.0054867445041),0.0110546747843 (0.000128539286335),0.322723041259 (0.00503570677618),0.171033031367 (0.00468729882741),"DecisionTreeClassifier(class_weight=None, criterion='entropy', max_depth=20,
            max_features='log2', max_leaf_nodes=None, min_samples_leaf=1,
            min_samples_split=10, min_weight_fraction_leaf=0.0,
            presort=False, random_state=None, splitter='best')",0.299969621819 (0.00905260558768),0.230991633575 (0.00511323303235),0.558314007735 (0.0214624686702),0.115773707475 (0.00495114605542),0.214581099616 (0.00666898008456),0.371443051557 (0.0125236297874),0.924413333333 (0.000712990571856),0.322861787382 (0.00350271587546)
