Precision at .75,Recall at .10,AUC,Precision at .5,f1 at 0.75,Recall at .85,Precision at .2,f1 at 0.85,f1 at 0.5,f1 at 0.05,Recall at .20,train_time (sec),Precision at .25,Recall at .25,test_time (sec),f1 at 0.2,Precision at .05,classifier,f1 at 0.1,Recall at .5,Recall at .05,Recall at .75,Precision at .10,Precision at .85,Accuracy,f1 at 0.25
0.650072150072 (0.130018353766),0.704380025716 (0.00672336879291),0.850463387297 (0.00370393995293),0.662243404825 (0.0554514769421),0.00457668991808 (0.0018611330302),0.000699346475559 (0.000510686380001),0.446809077571 (0.024603263359),nan (nan),0.0354250489587 (0.0111238360153),0.259306599155 (0.00551331221588),0.377527045532 (0.00239963332045),0.43770925204 (0.00473475541411),0.529651201428 (0.0215678257281),0.250471297988 (0.0112621898434),0.107666730881 (0.000312857567753),0.408910218639 (0.0097046949323),0.152569325522 (0.0037492226674),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='gini',
           max_depth=10, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.340748640252 (0.0072747351865),0.0182258152699 (0.0058395406676),0.863563777313 (0.00324583310845),0.00229876407467 (0.000939370740502),0.224799064315 (0.00659102604549),0.5 (0.408248290464),0.933793333333 (0.000193448241714),0.339795925587 (0.0108016976863)
0.759259259259 (0.171733675843),0.694517753729 (0.0168983969434),0.848464482959 (0.00225786380624),0.696515417565 (0.0626739814038),0.00497371092773 (0.00124496787104),0.00110023372065 (0.000753456414174),0.461767459589 (0.00565479973128),0.00219517290548 (0.00150096739135),0.0325251066228 (0.00470137757659),0.25104986521 (0.00154125919409),0.361311348921 (0.0101055926643),0.435318549474 (0.00186086576495),0.540359380322 (0.0186108405781),0.24581295113 (0.0122971221912),0.108052651087 (5.83956276559e-05),0.405364471719 (0.00806762705831),0.146698076668 (0.00104747237664),"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='gini',
           max_depth=10, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.346015648935 (0.000455084936381),0.0166570034922 (0.0024425526973),0.869748013126 (0.0033950236592),0.00249672191516 (0.000628552037769),0.230470225778 (0.0022906042133),0.712121212121 (0.211036186018),0.933786666667 (0.000287672653472),0.337409937452 (0.00866298840138)
0.736413043478 (0.198288895648),0.703724395862 (0.00930804543289),0.853461005852 (0.00267702816926),0.71095505618 (0.0714768519836),0.00516907601343 (0.00240772297349),0.000903046530016 (0.00107279149214),0.460299211011 (0.0156153340722),nan (nan),0.0340582009639 (0.00268531075009),0.254983808767 (0.00371755369406),0.378642162072 (0.00522321611225),0.753436724345 (0.000976723185197),0.5404496321 (0.014768580231),0.251382372596 (0.00743337752256),0.112662474314 (0.000579042189918),0.415287985342 (0.00434923908974),0.149341636595 (0.00269416176676),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='gini',
           max_depth=10, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.347279026429 (0.0057747655331),0.0174589170484 (0.00143461820119),0.871846261152 (0.00667535156238),0.00259830974694 (0.00121339475377),0.230569397377 (0.00528063428862),0.371794871795 (0.267085469949),0.933826666667 (0.000213124898175),0.342929344326 (0.00467503077313)
0.666666666667 (0.13468700594),0.705852371866 (0.00275864949917),0.853199381834 (0.00334587033832),0.701026327532 (0.0732441695623),0.00517004008551 (0.00150661694914),0.00089937000668 (0.000493064124209),0.468687148388 (0.0172787214925),0.00179591693255 (0.0009837502876),0.0349865355748 (0.00456635366816),0.254707103378 (0.00150802880296),0.362946451099 (0.00519304769878),0.851497809092 (0.000128620924818),0.547214064015 (0.0143119368673),0.243480776766 (0.00378232105012),0.112637996674 (0.000100832175342),0.408945085789 (0.00747830443522),0.149044655186 (0.000987066310524),"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='gini',
           max_depth=10, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.346854409607 (0.00734890680295),0.0179415377419 (0.00235502663092),0.875118358437 (0.00495584153728),0.00259715377215 (0.00076122451654),0.229954578613 (0.00631874182653),0.68253968254 (0.273089691017),0.933853333333 (7.54247233266e-05),0.33691996678 (0.00348945884041)
0.72380952381 (0.195644176992),0.705635999536 (0.00725015165011),0.854109528224 (0.00257563559583),0.699159188932 (0.0703232809718),0.00517045097439 (0.00172518805322),0.00120105090257 (0.000855114414053),0.462341429372 (0.0094476027926),0.00239572006654 (0.00170246107696),0.0334795346641 (0.00186934143158),0.256868983062 (0.00070785097331),0.381849907156 (0.0123085221829),1.39874680837 (0.0042892965572),0.541085379736 (0.0107250146299),0.254729166074 (0.00322483228232),0.192280133565 (0.0469117958137),0.418125974563 (0.00885607105671),0.150678851486 (0.000454076994241),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='gini',
           max_depth=10, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.348120546575 (0.00682135860488),0.0171512476796 (0.000939128198989),0.870034880736 (0.00620021415574),0.00259753909708 (0.000870931689905),0.23109726786 (0.00594543189801),0.777777777778 (0.157134840264),0.933806666667 (0.00018208667045),0.346314191849 (0.00165823427608)
0.69188034188 (0.115670743681),0.704928352638 (0.00782318092882),0.853127356801 (0.00249398396849),0.701768607222 (0.0767259731482),0.00497227574087 (0.00150186926645),0.0010993935378 (0.000515204244131),0.462890050772 (0.0113891760835),0.00219464013392 (0.00102648785723),0.0309672783728 (0.0069104674097),0.255891898155 (0.00326389623399),0.372905259273 (0.00831492100591),1.59515372912 (0.00204030176951),0.54917393193 (0.0135800042999),0.241076652717 (0.00904528090232),0.228937228521 (0.00228584560365),0.412910467864 (0.00572728838135),0.149926457202 (0.00236939690579),"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='gini',
           max_depth=10, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=100, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.343932230074 (0.00634051323217),0.0158522535956 (0.00362054729134),0.873050779979 (0.00593490926585),0.00249710724009 (0.000757769295947),0.227470668016 (0.00503561550761),0.777777777778 (0.157134840264),0.93376 (0.00018547236991),0.3347898753 (0.00607913901375)
0.734126984127 (0.0831323161315),0.687358712939 (0.011670238285),0.84989084562 (0.00171386078744),0.614635395061 (0.020483688596),0.0225824533509 (0.00056019365519),0.00359411929533 (0.000992389004111),0.380558216813 (0.00289846691319),0.00715197677205 (0.00196518392633),0.191290986717 (0.00232031749853),0.280948964612 (0.00365812103886),0.481414731136 (0.00678607484688),0.637347141902 (0.00257129125929),0.425856727792 (0.00907498740356),0.4015295951 (0.00515353121552),0.107605775197 (0.000352196528835),0.425079659178 (0.00436450396939),0.169188467182 (0.00273289265738),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='gini',
           max_depth=20, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.358897718113 (0.0034871984775),0.113316271342 (0.00215814331852),0.827944081979 (0.00356578666555),0.0114707819845 (0.000299997801864),0.24285600826 (0.00174268451047),0.770562770563 (0.0612213663365),0.935966666667 (0.000275358352374),0.413321283909 (0.00678674182661)
0.692453165732 (0.0407107983212),0.687391170065 (0.0062172379848),0.851619863698 (0.00187556800758),0.619337087516 (0.0173607212632),0.0273698428043 (0.000573948503729),0.00498686143351 (0.000277582436369),0.379675583068 (0.00868492586911),0.00989948251559 (0.000548359965451),0.196913480001 (0.00746213400327),0.281833926794 (0.00271961977188),0.477230029518 (0.00595036649934),0.744871377945 (0.0066165886873),0.426019927283 (0.00724939679201),0.397326195073 (0.00815648384825),0.108944098155 (0.000736872346572),0.422878908784 (0.00743956795785),0.169899153008 (0.00211214856029),"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='gini',
           max_depth=20, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.359460268994 (0.00626414508209),0.117074103793 (0.00470819240037),0.826275356949 (0.00461257695968),0.0139621470106 (0.000302342165136),0.243384170554 (0.00532758397017),0.675213675214 (0.0786953994839),0.93618 (0.00034292856399),0.411161506541 (0.00747775297464)
0.721057301639 (0.0669860061151),0.696935642282 (0.0103547840356),0.855715568942 (0.00312906412246),0.621016260988 (0.0176760364584),0.0187018729676 (0.000523260947145),0.00339196054059 (0.000158184599353),0.388400344562 (0.00678312346822),0.00675474909556 (0.000310940973153),0.185748544302 (0.00231868690368),0.283065553317 (0.00407528749319),0.484895917238 (0.00849601635492),1.09876139959 (0.0440747584585),0.435633380753 (0.0108902829819),0.405423222408 (0.00564551175365),0.112085580826 (0.000894849775973),0.431315681594 (0.00750720965327),0.170294237504 (0.00296025138769),"ExtraTreesClassifier(bootstrap=True, class_weight=None, criterion='gini',
           max_depth=20, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.364221859293 (0.00319007768055),0.109212008131 (0.00106228028412),0.83821990294 (0.000321961156371),0.00947530963842 (0.000275672201763),0.246537231985 (0.00183772554948),0.79939668175 (0.0661246160386),0.936 (0.000299777695412),0.419965437733 (0.00790920150361)
0.703174603175 (0.0447692215117),0.692968822421 (0.00681544359584),0.855603155298 (0.00285447136295),0.617198185393 (0.0211877281404),0.0237292030111 (0.00311557422379),0.00518902018825 (0.000637067165794),0.386901815166 (0.00877918319937),0.0103013314803 (0.00125886417991),0.191424708932 (0.00133024461144),0.283099013276 (0.00390625137731),0.481226015307 (0.00446304624055),1.36642901103 (0.0106535179855),0.4330201394 (0.0113402707052),0.401750414603 (0.00289581120046),0.114833037059 (0.00240231265693),0.428912568848 (0.00690057232924),0.170546261125 (0.00280410750642),"ExtraTreesClassifier(bootstrap=False, class_weight=None, criterion='gini',
           max_depth=20, max_features='sqrt', max_leaf_nodes=None,
           min_samples_leaf=1, min_samples_split=2,
           min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
           oob_score=False, random_state=None, verbose=0, warm_start=False)",0.365721319996 (0.00171485460151),0.113312209493 (0.00132912708),0.83271649192 (0.0036306014741),0.012075685076 (0.00162021100637),0.248428041394 (0.00194416454412),0.707936507937 (0.0856554765919),0.93602 (0.000282842712475),0.416753587986 (0.00651463305627)
