Precision at .75,Recall at .10,AUC,Precision at .5,f1 at 0.75,Recall at .85,Precision at .2,f1 at 0.85,f1 at 0.5,f1 at 0.05,Recall at .20,train_time (sec),Precision at .25,Recall at .25,test_time (sec),f1 at 0.2,Precision at .05,classifier,f1 at 0.1,Recall at .5,Recall at .05,Recall at .75,Precision at .10,Precision at .85,Accuracy,f1 at 0.25
0.0 (0.0),0.34602463335 (0.00483352043108),0.648505836402 (0.00258150001533),0.525540222507 (0.0304990867504),nan (nan),0.0 (0.0),0.328545359219 (0.0301415621605),nan (nan),0.00968445148494 (0.00307803152082),0.15536979879 (0.00127985740701),0.0188396822408 (0.00238883718249),1.00307043393 (0.0214713749731),0.544932909605 (0.0467345607846),0.0103710726548 (0.000961594094724),5.42817052205 (0.0889532221505),0.0355954629935 (0.00426220522515),0.0861991533806 (0.000771253329732),"KNeighborsClassifier(algorithm='auto', leaf_size=60, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=100, p=2,
           weights='uniform')",0.179818515927 (0.00200242946253),0.00489332776528 (0.00156620444381),0.786571916244 (0.00607539344981),0.0 (0.0),0.121507001571 (0.00238293871116),0.0 (0.0),0.933173333333 (0.000338755893758),0.0203534362682 (0.00187884846726)
0.0 (0.0),0.248551993603 (0.00934331764309),0.635095907076 (0.00349449241732),0.0 (0.0),nan (nan),0.0 (0.0),0.552744708995 (0.0165228134066),nan (nan),nan (nan),0.147883269915 (0.00135793181845),0.00299895073308 (0.00154430326078),0.998763163884 (0.0279073437452),0.333333333333 (0.471404520791),0.000100431856985 (0.000142032094243),14.638094902 (0.357874895615),0.00595603620384 (0.00304901975292),0.0812000757277 (0.000807038958165),"KNeighborsClassifier(algorithm='auto', leaf_size=60, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=500, p=2,
           weights='uniform')",0.160536397317 (0.00186344232618),0.0 (0.0),0.827345381747 (0.00956947398211),0.0 (0.0),0.118763616309 (0.0042799922246),0.0 (0.0),0.93316 (0.000342150064543),nan (nan)
0.0 (0.0),0.164186330246 (0.00279309999637),0.621790146666 (0.00236867139122),0.0 (0.0),nan (nan),0.0 (0.0),0.0 (0.0),nan (nan),nan (nan),0.144595802043 (0.00121336089499),0.0 (0.0),1.00029397011 (0.0264835156358),0.0 (0.0),0.0 (0.0),26.5366919041 (0.523806000681),nan (nan),0.0792365315653 (0.000771406542251),"KNeighborsClassifier(algorithm='auto', leaf_size=60, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=1000, p=2,
           weights='uniform')",0.136764080833 (0.00410103489908),0.0 (0.0),0.825941192841 (0.012167467144),0.0 (0.0),0.117240970537 (0.00488685555242),0.0 (0.0),0.93316 (0.000342150064543),nan (nan)
0.255952380952 (0.0948653419673),0.309627004437 (0.00632674486225),0.658723120672 (0.00203218666516),0.370602141566 (0.0456655369799),0.00237781693622 (0.000961172838727),0.00109403664877 (0.000610210397864),0.263051673473 (0.0339177389825),0.00217892588701 (0.00121406431951),0.0108071602729 (0.000964114056976),0.165707085838 (0.0013800040819),0.0224223171082 (0.0041305081645),0.998553196589 (0.0304349282776),0.357483481699 (0.0270635719754),0.0116646779767 (0.0010639973255),5.43183700244 (0.103024325259),0.0413131861394 (0.00742713760766),0.0936058837391 (0.000821793143531),"KNeighborsClassifier(algorithm='auto', leaf_size=60, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=100, p=2,
           weights='distance')",0.18642517346 (0.00255634568467),0.0054836638294 (0.000486710118933),0.721336056277 (0.00602406130246),0.00119446850575 (0.000483008207332),0.133427739179 (0.0032323703265),0.275183150183 (0.0975199484621),0.933046666667 (0.000281582827759),0.0225912342228 (0.00204481296462)
0.269444444444 (0.0850744046173),0.259116368326 (0.00888378219056),0.653690120525 (0.00340437134208),0.296996996997 (0.0707320368649),0.00237829298285 (0.000960878800522),0.00109403664877 (0.000610210397864),0.337604574817 (0.0342338251595),0.00217922244592 (0.00121402533954),0.00572095817868 (0.00152826118844),0.155457807119 (0.00186451875943),0.00727865778644 (0.000472637231699),1.00359392166 (0.0325357435378),0.357542819499 (0.0274102721615),0.00678108474069 (0.000488171432281),15.0147867997 (0.0109830713873),0.0142496285384 (0.000936425242491),0.0860409325078 (0.0011457845059),"KNeighborsClassifier(algorithm='auto', leaf_size=60, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=500, p=2,
           weights='distance')",0.174964936033 (0.00119060358143),0.00288857574788 (0.000773042784852),0.804799695799 (0.00725394807084),0.00119446850575 (0.000483008207332),0.132173469464 (0.00200681225718),0.291666666667 (0.0900102874779),0.933046666667 (0.00029227080289),0.0133077810537 (0.000947031064433)
0.28817016317 (0.0800651372907),0.216139459975 (0.0112635105147),0.646481525582 (0.0031676394385),0.227564102564 (0.0762524182908),0.00237888531727 (0.000960732290822),0.00109403664877 (0.000610210397864),0.32835056276 (0.0123816166036),0.00217922244592 (0.00121402533954),0.00375177598689 (0.00138383697496),0.151665571356 (0.00136043223693),0.00628344216195 (0.000235607644324),1.01727056503 (0.0345366829041),0.355983772819 (0.0165778907006),0.00598421228162 (0.000235888459403),29.1656601429 (2.26490507705),0.0123305243434 (0.000457495733091),0.0835829340624 (0.000821974109639),"KNeighborsClassifier(algorithm='auto', leaf_size=60, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=1000, p=2,
           weights='distance')",0.164175284078 (0.00186440255647),0.00189167975769 (0.000698485363723),0.818066140984 (0.0118700337473),0.00119446850575 (0.000483008207332),0.132593799383 (0.00226193189171),0.291666666667 (0.0900102874779),0.933013333333 (0.00031721006009),0.0117695861155 (0.00045362192766)
0.0 (0.0),0.345925427001 (0.00491815291426),0.648512700497 (0.00260341109274),0.525540222507 (0.0304990867504),nan (nan),0.0 (0.0),0.328545359219 (0.0301415621605),nan (nan),0.00968445148494 (0.00307803152082),0.155363668907 (0.00127981634809),0.0188396822408 (0.00238883718249),0.993819316228 (0.0228919315724),0.544932909605 (0.0467345607846),0.0103710726548 (0.000961594094724),6.38077044487 (0.801887974268),0.0355954629935 (0.00426220522515),0.0861953775896 (0.000771100320017),"KNeighborsClassifier(algorithm='auto', leaf_size=120, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=100, p=2,
           weights='uniform')",0.179766055535 (0.00197711916373),0.00489332776528 (0.00156620444381),0.786571916244 (0.00607539344981),0.0 (0.0),0.121471343319 (0.0023623289917),0.0 (0.0),0.933173333333 (0.000338755893758),0.0203534362682 (0.00187884846726)
0.0 (0.0),0.248551993603 (0.00934331764309),0.635096511877 (0.00349383966714),0.0 (0.0),nan (nan),0.0 (0.0),0.552744708995 (0.0165228134066),nan (nan),nan (nan),0.147881968161 (0.00135973886478),0.00299895073308 (0.00154430326078),0.990211089452 (0.0266907547316),0.333333333333 (0.471404520791),0.000100431856985 (0.000142032094243),14.9512194792 (0.179135935134),0.00595603620384 (0.00304901975292),0.081199291842 (0.000808096322354),"KNeighborsClassifier(algorithm='auto', leaf_size=120, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=500, p=2,
           weights='uniform')",0.160536966904 (0.00187465060853),0.0 (0.0),0.827345381747 (0.00956947398211),0.0 (0.0),0.118764792823 (0.00429212584442),0.0 (0.0),0.93316 (0.000342150064543),nan (nan)
0.0 (0.0),0.164186330246 (0.00279309999637),0.621795100555 (0.00236942304767),0.0 (0.0),nan (nan),0.0 (0.0),0.0 (0.0),nan (nan),nan (nan),0.144595802043 (0.00121336089499),0.0 (0.0),0.988198359807 (0.0223725509649),0.0 (0.0),0.0 (0.0),26.6028230985 (0.328304241421),nan (nan),0.0792365315653 (0.000771406542251),"KNeighborsClassifier(algorithm='auto', leaf_size=120, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=1000, p=2,
           weights='uniform')",0.136764080833 (0.00410103489908),0.0 (0.0),0.825941192841 (0.012167467144),0.0 (0.0),0.117240970537 (0.00488685555242),0.0 (0.0),0.93316 (0.000342150064543),nan (nan)
0.255952380952 (0.0948653419673),0.309627004437 (0.00632674486225),0.658728983322 (0.00203856405814),0.370602141566 (0.0456655369799),0.00237781693622 (0.000961172838727),0.00109403664877 (0.000610210397864),0.263051673473 (0.0339177389825),0.00217892588701 (0.00121406431951),0.0108071602729 (0.000964114056976),0.165705186564 (0.0013805518423),0.0224223171082 (0.0041305081645),0.983088493347 (0.0272276178382),0.357483481699 (0.0270635719754),0.0116646779767 (0.0010639973255),5.9681520462 (0.126896989085),0.0413131861394 (0.00742713760766),0.0936046690405 (0.000821978046879),"KNeighborsClassifier(algorithm='auto', leaf_size=120, metric='minkowski',
           metric_params=None, n_jobs=1, n_neighbors=100, p=2,
           weights='distance')",0.18642517346 (0.00255634568467),0.0054836638294 (0.000486710118933),0.721336056277 (0.00602406130246),0.00119446850575 (0.000483008207332),0.133427739179 (0.0032323703265),0.275183150183 (0.0975199484621),0.933046666667 (0.000281582827759),0.0225912342228 (0.00204481296462)
