Precision at .75,Recall at .10,AUC,Precision at .5,f1 at 0.75,Recall at .85,Precision at .2,f1 at 0.85,f1 at 0.5,f1 at 0.05,Recall at .20,train_time (sec),Precision at .25,Recall at .25,test_time (sec),f1 at 0.2,Precision at .05,classifier,f1 at 0.1,Recall at .5,Recall at .05,Recall at .75,Precision at .10,Precision at .85,Accuracy,f1 at 0.25
0.320555670146 (0.00615715532035),0.99800543737 (0.000279902904672),0.828856180695 (0.00161786010007),0.183208189342 (0.00127743803316),0.367315955343 (0.00171461642542),0.197629271558 (0.0101938940301),0.0894705809554 (0.00055602867495),0.283990349207 (0.0103604912531),0.293973166314 (0.00186272420659),0.125305229211 (0.000601550402195),0.960795105803 (0.00371869289441),1.56523489952 (0.306161753515),0.105617127977 (0.000956606156652),0.931982401812 (0.00227870285061),0.0127603212992 (0.0124105110657),0.163696430903 (0.000903839624604),0.0668404462756 (0.000342281054265),"LogisticRegression(C=0.01, class_weight='balanced', dual=False,
          fit_intercept=True, intercept_scaling=1, max_iter=100,
          multi_class='ovr', n_jobs=7, penalty='l1', random_state=None,
          solver='liblinear', tol=1e-05, verbose=0, warm_start=False)",0.12768551485 (0.000380945433706),0.743462744708 (0.00296412951179),1.0 (0.0),0.43034615234 (0.00683955979787),0.0682059622619 (0.000217984690859),0.505797292226 (0.0113155514701),0.761306666667 (0.000901011776961),0.189730467195 (0.00149706881513)
0.554865424431 (0.118971079905),0.627271662123 (0.00221888701018),0.804032635462 (0.0028314573182),0.586379189939 (0.0149935582004),0.00674004064437 (0.000575138945968),0.00049764257874 (0.000279460792788),0.295248823575 (0.00871479538814),0.000993984210266 (0.000557590708588),0.0706580118941 (0.00226065972794),0.247414882299 (0.0039601093115),0.342994135207 (0.00280403827737),2.00269365311 (0.115177110458),0.384124694627 (0.0115894055375),0.226509034777 (0.00209268899278),0.0040328502655 (8.44291324839e-05),0.317273493936 (0.00557842110405),0.146392591328 (0.00260271892688),"LogisticRegression(C=0.01, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=7,
          penalty='l1', random_state=None, solver='liblinear', tol=1e-05,
          verbose=0, warm_start=False)",0.302603103818 (0.00391628885125),0.0375959506675 (0.00124508516055),0.798417281973 (0.00631848067272),0.00339234586552 (0.000294525262061),0.199419436479 (0.00361808505059),0.5 (0.0),0.9339 (0.000254558441227),0.284944808732 (0.0048433699491)
0.328720481037 (0.00408962118176),0.998602671623 (0.00037535943951),0.829503014652 (0.00167330939781),0.183680764207 (0.00113571289633),0.369527207442 (0.00111060956593),0.196534710519 (0.0112589947518),0.0892396506213 (0.000416734444078),0.283608243552 (0.0118863219321),0.294589684485 (0.00167942808088),0.125304445145 (0.000601320065899),0.962591780126 (0.00420580979065),1.01992416382 (0.0687553266934),0.105063746543 (0.00100928509314),0.932874349239 (0.00202229777339),0.00420959790548 (6.18787954499e-05),0.163335907113 (0.000663792145654),0.06684 (0.000342150064543),"LogisticRegression(C=0.01, class_weight='balanced', dual=False,
          fit_intercept=True, intercept_scaling=1, max_iter=100,
          multi_class='ovr', n_jobs=7, penalty='l2', random_state=None,
          solver='liblinear', tol=1e-05, verbose=0, warm_start=False)",0.127059136959 (0.000494948896723),0.743567693271 (0.00292895760668),1.0 (0.0),0.422070282772 (0.00630281839379),0.0678458934342 (0.000282599252956),0.510639323358 (0.0100488647376),0.76198 (0.00119510111148),0.188855430734 (0.00159839418889)
0.515473032714 (0.0997275364074),0.615798744915 (0.00321482958185),0.801094998652 (0.00269117127063),0.583649909991 (0.00951959416738),0.0085084039957 (0.0014091074409),0.00129412971288 (0.00077860908995),0.310347296368 (0.00828463806134),0.00258134201963 (0.00155118665658),0.0809163730158 (0.0034714638036),0.242608347185 (0.00319612494965),0.327945304594 (0.000454157651501),1.22518491745 (0.192863445896),0.395304178407 (0.0120524868694),0.219827472178 (0.000873589622912),0.00425489743551 (8.6578084981e-05),0.318849448037 (0.00451979280125),0.142802481933 (0.002179435196),"LogisticRegression(C=0.01, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=7,
          penalty='l2', random_state=None, solver='liblinear', tol=1e-05,
          verbose=0, warm_start=False)",0.30465092631 (0.00399558653149),0.0434772105435 (0.00198218017612),0.80591214115 (0.00414431840206),0.00428971971456 (0.000709771997334),0.202415856509 (0.00381281470333),0.537662337662 (0.185576493549),0.933993333333 (0.000260426999795),0.282490649691 (0.00381704442931)
0.320566644911 (0.00681764091775),0.99800543737 (0.000279902904672),0.828837022509 (0.00160639899177),0.183134286707 (0.00116413785716),0.367433724823 (0.00238309041196),0.19743085886 (0.010472210944),0.0894416080319 (0.000561144606629),0.283720782935 (0.0108259819412),0.293870420667 (0.00168372906333),0.125305229211 (0.000601550402195),0.961095175866 (0.00383557011787),0.730719327927 (0.234192234419),0.105451090492 (0.00106596787166),0.931781538098 (0.00208208545206),0.00403038660685 (6.39134750554e-05),0.163652187341 (0.000905663930507),0.0668404462756 (0.000342281054265),"LogisticRegression(C=0.01, class_weight='balanced', dual=False,
          fit_intercept=True, intercept_scaling=1, max_iter=100,
          multi_class='ovr', n_jobs=7, penalty='l1', random_state=None,
          solver='liblinear', tol=0.001, verbose=0, warm_start=False)",0.127722960906 (0.000364483182502),0.743365989374 (0.00266419091053),1.0 (0.0),0.430649898927 (0.00595670187767),0.0682273281483 (0.000208560348981),0.505360760461 (0.0112155169337),0.76122 (0.000873765796233),0.189458027682 (0.00167822885985)
0.363445378151 (0.0805108971912),0.642809455354 (0.007086310182),0.803827168279 (0.00346434908055),0.557873980183 (0.018942841572),0.00513792518151 (0.00414769555679),9.9591674136e-05 (0.000140843896263),0.281432820732 (0.0102635132075),nan (nan),0.0447653797126 (0.00826607829301),0.245557961318 (0.0036375057445),0.343100732262 (0.00338577422389),0.674418846766 (0.233273455556),0.356400259836 (0.018584421152),0.20451715038 (0.0124612412271),0.004092613856 (8.30833921109e-05),0.309057004491 (0.00494995049829),0.144923909345 (0.00240709566326),"LogisticRegression(C=0.01, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=7,
          penalty='l1', random_state=None, solver='liblinear', tol=0.001,
          verbose=0, warm_start=False)",0.303803262629 (0.00433265264291),0.0233506067836 (0.00446823677636),0.803600212282 (0.00394065647009),0.00259487948255 (0.00210229248554),0.198937094848 (0.00394756754102),0.0833333333333 (0.117851130198),0.933486666667 (0.000320970749792),0.259877671066 (0.0148727697351)
0.325956281814 (0.00535183024569),0.99810670941 (0.000610513364181),0.829092814317 (0.0013785016389),0.183395308702 (0.000912624410185),0.369041719415 (0.00154321510566),0.196239472954 (0.0125066890226),0.0890431502576 (0.000459680025068),0.283080572475 (0.0133307417888),0.294207191573 (0.00140417031912),0.125304445145 (0.000601320065899),0.9624962503 (0.00383301804405),0.678048292796 (0.0200081026061),0.10457818621 (0.00133655552749),0.932870217858 (0.00194876072263),0.00425251324972 (4.36205380435e-05),0.163005111846 (0.000716117997338),0.06684 (0.000342150064543),"LogisticRegression(C=0.01, class_weight='balanced', dual=False,
          fit_intercept=True, intercept_scaling=1, max_iter=100,
          multi_class='ovr', n_jobs=7, penalty='l2', random_state=None,
          solver='liblinear', tol=0.001, verbose=0, warm_start=False)",0.127570654828 (0.000567264735984),0.743370960938 (0.00318297830208),1.0 (0.0),0.425464555262 (0.00581469643342),0.0681400220778 (0.000326190799045),0.509489416968 (0.0113106429925),0.761606666667 (0.000987162037808),0.188069289139 (0.00213427013736)
0.149425287356 (0.211319267941),0.365745908478 (0.0104360727854),0.657123502071 (0.00365605620525),0.487834578276 (0.0250077185509),nan (nan),0.000903886712865 (0.00127828884818),0.144117893326 (0.00819659404451),nan (nan),0.0185898219514 (0.00400409384664),0.165833239362 (0.00215694962749),0.0560811758927 (0.00580963390414),0.360774278641 (0.0278918332964),0.213684441268 (0.0331148442838),0.0166598021727 (0.000914545194564),0.00430631637573 (3.62380554462e-05),0.080689012745 (0.00726218619025),0.0929558089259 (0.00134745326522),"LogisticRegression(C=0.01, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=7,
          penalty='l2', random_state=None, solver='liblinear', tol=0.001,
          verbose=0, warm_start=False)",0.173914754979 (0.00285428910591),0.00948602341649 (0.00208801643382),0.767997433585 (0.0096555600795),0.00261122828161 (0.00369283445031),0.114097544868 (0.00181060781332),0.1 (0.141421356237),0.93312 (0.00031496031496),0.0308589702809 (0.00160137319092)
0.282288459949 (0.0276662049587),0.999602789278 (0.000371093572716),0.809869554094 (0.0129109890443),0.173179108275 (0.00801648019497),0.331034709042 (0.0263647387586),0.0878383270408 (0.053648483432),0.0830276849829 (0.0040145204371),0.143243054554 (0.0768224223679),0.280165117792 (0.0108736971483),0.125304445145 (0.000601320065899),0.972577656665 (0.0021248281054),0.111789703369 (0.016699935911),0.0971224898918 (0.00609304311104),0.937876270218 (0.0042880185377),0.00399192174276 (7.83243638837e-05),0.152966145569 (0.00677545430813),0.06684 (0.000342150064543),"LogisticRegression(C=0.01, class_weight='balanced', dual=False,
          fit_intercept=True, intercept_scaling=1, max_iter=100,
          multi_class='ovr', n_jobs=7, penalty='l1', random_state=None,
          solver='liblinear', tol=1, verbose=0, warm_start=False)",0.1256566956 (0.000556757138215),0.733895752706 (0.00815600480058),1.0 (0.0),0.400721151319 (0.0232264654363),0.0670422810325 (0.000318677378576),0.51117666457 (0.00611365007254),0.747566666667 (0.0105547630112),0.175949639071 (0.00988648802312)
0.473909254082 (0.0776247444484),0.572288804579 (0.0846680904526),0.69834594234 (0.0950709517786),0.493318426982 (0.100402277795),0.0191279810377 (0.00453417327173),0.000499638736378 (0.000373094317733),0.223296527569 (0.0416578582773),nan (nan),0.028830688358 (0.00234621378648),0.161009955151 (0.0238697585658),0.116943391104 (0.0871954201798),0.0852455298106 (0.00762972865102),0.340145502646 (0.0590582172934),0.0312102735508 (0.018437436075),0.00405136744181 (8.50684112947e-05),0.137926521658 (0.0782299235884),0.0886891839051 (0.0144750202765),"LogisticRegression(C=0.01, class_weight=None, dual=False, fit_intercept=True,
          intercept_scaling=1, max_iter=100, multi_class='ovr', n_jobs=7,
          penalty='l1', random_state=None, solver='liblinear', tol=1,
          verbose=0, warm_start=False)",0.224607276309 (0.0590046272719),0.0148557748033 (0.0011575840881),0.897776265915 (0.0217374815477),0.00976266976589 (0.00232790778047),0.14040631723 (0.0402539315955),0.174242424242 (0.123556866896),0.933086666667 (0.000179133717901),0.0548559218796 (0.0287012711067)
