Precision at .75,Recall at .10,AUC,Precision at .5,f1 at 0.75,Recall at .85,Precision at .2,f1 at 0.85,f1 at 0.5,f1 at 0.05,Recall at .20,train_time (sec),Precision at .25,Recall at .25,test_time (sec),f1 at 0.2,Precision at .05,classifier,f1 at 0.1,Recall at .5,Recall at .05,Recall at .75,Precision at .10,Precision at .85,Accuracy,f1 at 0.25
0.821428571429 (0.127108074429),0.67294212034 (0.0074947946865),0.861079967796 (0.00264443051127),0.624438354812 (0.028239832619),0.00497617007758 (0.00172809760334),0.0 (0.0),0.400435081867 (0.00433716668463),nan (nan),0.212968196161 (0.0138264988067),0.289691802094 (0.00490624747602),0.485071676872 (0.0130845080455),0.641450643539 (0.00945353233505),0.440703711892 (0.00540255001287),0.416494026863 (0.00645007301158),0.10751692454 (0.000752228673519),0.438679860777 (0.00796246441887),0.175279174048 (0.00367237785472),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=10, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.383240388611 (0.00685833140714),0.128642770999 (0.0106993640356),0.834614754075 (0.00302505179666),0.00249679144815 (0.000870033240584),0.267992228653 (0.00717379538584),0.0 (0.0),0.93654 (0.000278567765544),0.428255801073 (0.00595659285426)
0.611111111111 (0.0785674201318),0.671912874417 (0.00878879405429),0.860699985857 (0.00201269775297),0.64598912558 (0.0317404577608),0.00199213227565 (0.000564722349388),0.0 (0.0),0.406129854255 (0.0100162203062),nan (nan),0.1812317404 (0.00609968931976),0.289140237321 (0.00447767888615),0.474860802037 (0.00218173222791),0.602501153946 (0.0472321604536),0.445161683152 (0.0119076232489),0.407822450212 (0.00851796695717),0.106757243474 (6.5909789774e-06),0.437756014794 (0.00630320208105),0.174812593484 (0.00339973017402),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=10, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.387216911618 (0.00674924417022),0.105532131199 (0.00492243442753),0.836034457384 (0.00310257988982),0.000997736173038 (0.000283038007119),0.272037139874 (0.006572030263),0.0 (0.0),0.9363 (0.000327821089417),0.425617136928 (0.00893106726931)
0.763668663378 (0.037630645341),0.693846727211 (0.00962679608801),0.852543929941 (0.00178155072419),0.589932481474 (0.00478357963505),0.0187175295801 (0.00336911458277),0.00100018718859 (0.000571050484684),0.361097218636 (0.00807238220436),0.0019972451028 (0.00113893281887),0.242700333249 (0.0117652924848),0.286048142713 (0.00405768614174),0.527602900701 (0.00493618151455),0.937349160512 (0.00197135312141),0.406013429866 (0.00995539194178),0.45641199438 (0.000529218451476),0.106819947561 (3.80785314866e-05),0.428728315198 (0.00711525438907),0.173179127414 (0.00293698822379),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=20, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.365361154922 (0.00580810700039),0.152933574871 (0.0095451201085),0.821555723127 (0.00162895161243),0.009477621588 (0.00172218467041),0.247982052318 (0.00453627501517),0.84126984127 (0.136544845509),0.936266666667 (0.000359753001686),0.429676176873 (0.00555514121334)
0.813157894737 (0.0634859899043),0.695455670741 (0.00808821023233),0.853921040246 (0.00154437359776),0.611410296427 (0.0113449652078),0.014828717439 (0.0030554450907),0.000800094124484 (0.000565766953604),0.368516517726 (0.00590329378445),nan (nan),0.237503879768 (0.00370532547641),0.283485563582 (0.000385319554734),0.521523651112 (0.00534680791959),0.837048212687 (0.00128326090725),0.41477585165 (0.00648143938935),0.449834331562 (0.00377992752338),0.106838226318 (2.92488197002e-05),0.431843711893 (0.00502773933226),0.171253864576 (0.000359035707733),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=20, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.366718959955 (0.00179918163223),0.147424908369 (0.00344608876194),0.822554406676 (0.00247358320844),0.00748764519694 (0.00155787199865),0.249018279972 (0.000656049990054),0.666666666667 (0.471404520791),0.93674 (0.000197989898732),0.431544202363 (0.00285601973402)
0.753906718015 (0.0366921567229),0.69814652912 (0.0077665103711),0.848431962921 (0.00291262215556),0.585621203958 (0.0112463690758),0.0218275819468 (0.0022796375245),0.00150311712338 (0.00137045521814),0.355584908044 (0.00361725819646),nan (nan),0.247885387246 (0.00575985790137),0.278700818989 (0.00331240689661),0.529593717275 (0.00577697589149),0.97211376826 (0.0477770852694),0.40455872067 (0.00652410391995),0.460003694533 (0.00446764095685),0.107174634933 (0.000368806082384),0.42547818347 (0.00407236513885),0.16790798037 (0.0022001305354),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.357272519594 (0.00398054088568),0.15729928582 (0.00524024114882),0.819364460037 (0.00494198598827),0.0110772477861 (0.00117867142505),0.240065328361 (0.0028494149331),0.528571428571 (0.373801941082),0.93622 (0.000130639452948),0.430494583684 (0.00547294989347)
0.70730994152 (0.0724780609597),0.699572777166 (0.00402542633436),0.847155145468 (0.00384049221684),0.59615331281 (0.0158159274637),0.0132403208547 (0.000597453423179),0.000799708799555 (0.000376757025424),0.357289155827 (0.00767081652158),0.00159785630186 (0.000752414655622),0.235718478079 (0.0104823506327),0.276426703287 (0.00306239991289),0.528978555264 (0.00898674824465),0.838310082753 (0.00226832534051),0.404755716907 (0.00963173310728),0.45489641358 (0.00445772621059),0.107111136119 (0.000365934402753),0.426490280789 (0.00808282844666),0.166259948005 (0.00206248744305),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=50, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=25, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.357505071105 (0.00297947197361),0.147129569397 (0.00913369090127),0.819386133853 (0.00527356215542),0.00668387454912 (0.000307707165281),0.240103647637 (0.00221822225909),1.0 (0.0),0.936293333333 (0.000450875691171),0.428310428436 (0.00631752441547)
0.764021164021 (0.036319581591),0.675276723598 (0.0132752965039),0.861854268315 (0.00216893776527),0.638449896637 (0.0235724688038),0.00318855331344 (0.000761029222189),0.0 (0.0),0.399582751155 (0.00814429370092),nan (nan),0.191802503216 (0.00430112954715),0.289530257689 (0.00571741760143),0.487902018206 (0.00990193682872),1.22383157412 (0.0455407217857),0.442925422082 (0.00844809206704),0.42089031176 (0.00387026397075),0.112353722254 (0.000594010701924),0.439270309821 (0.00669219020342),0.175169927601 (0.00440642225922),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=10, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.384699906388 (0.00157687662998),0.112906457877 (0.00326155847165),0.834724503263 (0.0055318521348),0.0015978067664 (0.00038214702885),0.269002962517 (0.00107948780002),0.0 (0.0),0.936413333333 (0.000114697670227),0.431603530956 (0.00555901824749)
1.0 (0.0),0.669036377021 (0.00746656428196),0.861409543669 (0.0022386712958),0.654525098234 (0.0228824651764),0.00139897017116 (0.000753919215624),0.0 (0.0),0.405781841473 (0.00523872358374),nan (nan),0.17635728693 (0.00872102577131),0.289939437922 (0.00580052125802),0.481604773879 (0.00841616409289),1.05726408958 (0.000463423083695),0.4500004099 (0.00612903139525),0.410515524922 (0.00334972683697),0.111857334773 (0.000135056122592),0.440451569453 (0.00660242336084),0.175336209044 (0.00436371072984),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=10, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.389462952109 (0.00695653092125),0.102035468354 (0.00640013077912),0.837621550373 (0.00310315318105),0.000700117125419 (0.000377542722919),0.274744934594 (0.00691708125415),0.0 (0.0),0.936346666667 (0.000260426999795),0.429344981232 (0.00443110014005)
0.748798798799 (0.0760504210996),0.696064105503 (0.00519135784624),0.856480529093 (0.00182837918523),0.606681901113 (0.0110905352453),0.0138340087957 (0.00267616044207),0.000500933777146 (0.000512587386853),0.36800674428 (0.0095648736156),nan (nan),0.251640817389 (0.00397362230412),0.287965754765 (0.00388899436121),0.525000320507 (0.0068179999276),1.76170460383 (0.00209187597493),0.414084930365 (0.00934103554077),0.455515915572 (0.000743873720574),0.111475547155 (0.000124615217946),0.432673521783 (0.0085945557629),0.174397691062 (0.00282035263066),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=20, max_features='sqrt', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.371836664529 (0.00259619924818),0.158798094837 (0.00380769638239),0.825754429722 (0.000809989128947),0.00698671141979 (0.00136605011546),0.253676085357 (0.00182261760679),0.6 (0.432049379894),0.93688 (0.000416973220563),0.433752922254 (0.00485225658296)
0.799294532628 (0.0475235831904),0.698859987765 (0.00448798300728),0.856985102106 (0.00204397991038),0.609591619191 (0.0181424469909),0.00873546644232 (0.00227627540956),0.000600910776212 (0.000492019345958),0.370330469588 (0.00613042948355),nan (nan),0.23067850023 (0.00452201003748),0.287296525618 (0.00349480893632),0.52220611861 (0.007044496625),1.52819689115 (0.0478868522365),0.416625540027 (0.00706486458092),0.45070401125 (0.00667057314027),0.111089626948 (0.000542957588715),0.433326882643 (0.00598946088537),0.173718103189 (0.00258296589669),"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=20, max_features='log2', max_leaf_nodes=None,
            min_samples_leaf=1, min_samples_split=20,
            min_weight_fraction_leaf=0.0, n_estimators=50, n_jobs=7,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)",0.370511768383 (0.00257876109225),0.14233050829 (0.00404539498899),0.830049683052 (0.00160200779745),0.00439421341981 (0.00115379861809),0.252080143675 (0.00198966513235),0.6 (0.432049379894),0.93656 (0.000203960780544),0.432958981641 (0.00562231890378)
